book_title,author,book_details,review_rating,sentimiento_etiqueta,main_genre
Cool Hand Luke,Donn Pearce,"""An impressive novel . . . the most brutal and authentic account of a road gang that we have had."" —New York TimesOut of his experiences working on a chain gang, Donn Pearce created Cool Hand Luke, the larger-than-life war hero—Good Guy Number One—turned drunkard, vandal, and convict. A blasphemer and ""pretty evil feller"" who ""could work the hardest, eat the mostest, and tell the biggest lies."" Luke's outsized feats of gambling and gluttony—he bets Society Red, a college man from Boston, that he can eat fifty eggs—and his harrowing escapes and recaptures are recounted by Dragline, who followed Luke in his last, fatal escape attempt and who basks in Luke's reflected glory. To the convicts left behind on the chain gang, Luke has become the hope of freedom and defiance that they dare not act upon themselves. Luke's refusal to ""git his mind right"" and submit to the sadistic discipline of the Walking Boss becomes part of their mythology of survival.",5.0,Positivo,Fiction
Coraline,Neil Gaiman,"The day after they moved in, Coraline went exploring....In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. Only it's different. At first, things seem marvelous in the other flat. The food is better. The toy box is filled with wind-up angels that flutter around the bedroom, books whose pictures writhe and crawl and shimmer, little dinosaur skulls that chatter their teeth. But there's another mother, and another father, and they want Coraline to stay with them and be their little girl. They want to change her and never let her go. Other children are trapped there as well, lost souls behind the mirrors. Coraline is their only hope of rescue. She will have to fight with all her wits and all the tools she can find if she is to save the lost children, her ordinary life, and herself. Critically acclaimed and award-winning author Neil Gaiman will delight readers with his first novel for all ages.",4.5,Positivo,Fantasy
Corambis,Sarah Monette,"In the spellbinding conclusion to the brilliant fantasy series, Doctrine of Labyrinths, two brothers discover their ultimate destiny.Exiled from Melusine for the crime of heresy, Felix Harrowgate and his half-brother Mildmay journey to the land of Corambis to face judgement from a ruling body of wizards. Both brothers carry memories, regret, and-hidden deep in their hearts-hope.",4.0,Positivo,Fantasy
Corduroy Mansions,Alexander McCall Smith,"A delightful new setting - London - wonderful new cast of characters and one incredibly clever dog. Corduroy Mansions is the affectionate nickname given to a genteel, crumbling mansion block in London's vibrant Pimlico neighborhood and the home turf of a captivating collection of quirky and altogether McCall-Smithian characters. There's the middle-aged wine merchant William, who is trying to convince his reluctant twenty-four-year-old son, Eddie, to leave the nest; and Marcia, the boutique caterer who has her sights set on William. There's also the (justifiably) much-loathed Member of Parliament Oedipus Snark; his mother, Berthea, who's writing his biography and hating every minute of it; and his long-suffering girlfriend, Barbara, a literary agent who would like to be his wife (but, then, she'd like to be almost anyone's wife). There's the vitamin evangelist, the psychoanalyst, the art student with a puzzling boyfriend and Freddie de la Hay, the Pimlico terrier who insists on wearing a seat belt and is almost certainly the only avowed vegetarian canine in London.Filled with the ins and outs of neighborliness in all its unexpected variations, Corduroy Mansions showcases the life, laughter and humanity that have become the hallmarks of Alexander McCall Smith's work.",2.5,Negativo,Fiction
Corelli’s Mandolin,Louis de Bernières,"Captain Corelli’s Mandolin is set in the early days of the second world war, before Benito Mussolini invaded Greece. Dr Iannis practices medicine on the island of Cephalonia, accompanied by his daughter, Pelagia, to whom he imparts much of his healing art. Even when the Italians do invade, life isn’t so bad—at first anyway. The officer in command of the Italian garrison is the cultured Captain Antonio Corelli, who responds to a Nazi greeting of “Heil Hitler” with his own “Heil Puccini”, and whose most precious possession is his mandolin. It isn't long before Corelli and Pelagia are involved in a heated affair--despite her engagement to a young fisherman, Mandras, who has gone off to join Greek partisans. Love is complicated enough in wartime, even when the lovers are on the same side. And for Corelli and Pelagia, it becomes increasingly difficult to negotiate the minefield of allegiances, both personal and political, as all around them atrocities mount, former friends become enemies and the ugliness of war infects everyone it touches. British author Louis de Bernières is well known for his forays into magical realism in such novels as The War of Don Emmanuel's Nether Parts, Señor Vivo and the Coca Lord and The Troublesome Offspring of Cardinal Guzman. Here he keeps it to a minimum, though certainly the secondary characters with whom he populates his island—the drunken priest, the strongman, the fisherman who swims with dolphins—would be at home in any of his wildly imaginative Latin American fictions. Instead, de Bernières seems interested in dissecting the nature of history as he tells his ever-darkening tale from many different perspectives. Captain Corelli’s Mandolin works on many levels, as a love story, a war story and a deconstruction of just what determines the facts that make it into the history books.",3.5,Negativo,Fiction
Cosmicomics,Italo Calvino,"Italo Calvino's extraordinary imagination and intelligence combine here in an enchanting series of stories about the evolution of the universe. He makes his characters out of mathematical formulae and simple cellular structures. They disport themselves among galaxies, experience the solidification of planets, move from aquatic to terrestrial existence, play games with hydrogen atoms, and even have a love life.During the course of these stories Calvino toys with continuous creation, the transformation of matter, and the expanding and contracting reaches of space and time. He succeeds in relating complex scientific concepts to the ordinary reactions of common humanity.William Weaver's excellent translation won a National Book Award in 1969“Naturally, we were all there,"" old Qfwfq said, ""where else could we have been? Nobody knew then that there could be space. Or time either: what use did we have for time, packed in there like sardines?”The distance of the moon --At daybreak --A sign in space --All at one point --Without colors --Games without end --The aquatic uncle --How much shall we bet? --The dinosaurs --The form of space --The light-years --The spiral.",4.0,Positivo,Fiction
Cosmopolis,Don DeLillo,"It is a stunningly eventful day in the life of Eric Packer, a multi-billionaire who has recently married the heiress of a vast European fortune. A violent protest is being staged by anti-globalist groups and Eric fears that he may be a target. He is very much the target - but not by the protestors.",3.0,Negativo,Fiction
Cosmos,Witold Gombrowicz,"Milan Kundera called Witold Gombrowicz “one of the great novelists of our century.” His most famous novel, Cosmos, the recipient of the 1967 International Prize for Literature, is now available in a critically acclaimed translation, for the first time directly from the Polish, by the award-winning translator Danuta Borchardt.Cosmos is a metaphysical noir thriller narrated by Witold, a seedy, pathetic, and witty student, who is charming and appalling by turns. On his way to a relaxing vacation he meets the despondent Fuks. As they set off together for a family-run pension in the Carpathian Mountains they discover a dead bird hanging from a string. Is this a strange but meaningless occurrence or is it the beginning of a string of bizarre events? As the young men become embroiled in the Chekhovian travails of the family running the pension, Grombrowicz creates a gripping narrative where the reader questions who is sane and who is safe?",4.0,Positivo,Fiction
"Counter-Knowledge: How We Surrendered to Conspiracy Theories, Quack Medicine, Bogus Science and Fake History",Damian Thompson,"We are being overwhelmed by nonsense about science, medicine and history. False information - 'counterknowledge' - has reached epidemic proportions. This hard-hitting and controversial book leads the fight back.We are being swamped by dangerous nonsense. From 9/11 conspiracy theories to Holocaust denial, creationism to alternative medicine, there is now an epidemic of demonstrably untrue descriptions of the world.For Damian Thompson, these unproven theories and spurious claims are forms of 'counterknowledge', and, helped by the internet, they are creating a global generation of misguided adherents who repeat these untruths and lend them credence.'The sleep of reason brings forth monsters', warns the title of Francisco Goya's famous etching of 1799. As Damian Thompson demonstrates, unless the defenders of enlightenment values fight back soon, the counterknowledge industry has the potential to create new political, social and economic disasters.",3.3,Negativo,Nonfiction
Counting by 7s,Holly Goldberg Sloan,"Willow Chance is a twelve-year-old genius, obsessed with nature and diagnosing medical conditions, who finds it comforting to count by 7s. It has never been easy for her to connect with anyone other than her adoptive parents, but that hasn’t kept her from leading a quietly happy life...until now.Suddenly Willow’s world is tragically changed when her parents both die in a car crash, leaving her alone in a baffling world. The triumph of this book is that it is not a tragedy. This extraordinarily odd, but extraordinarily endearing, girl manages to push through her grief. Her journey to find a fascinatingly diverse and fully believable surrogate family is a joy and a revelation to read.",3.7,Positivo,Young Adult
Couples,John Updike,"Couples is the book that has been assailed for its complete frankness & praised as an artful, seductive, savagely graphic portrait of love, marriage & adultery in America. But be it damned or hailed, Couples drew back the curtain forever on sex in suburbia in the late 20th century. A classic, it's one of those books that will be read & remembered for a long time to come.",3.5,Neutral,Fiction
Crabwalk,Günter Grass,"Günter Grass has been wrestling with Germany's past for decades now, but no book since The Tin Drum has generated as much excitement as this engrossing account of the sinking of the Wilhelm Gustloff . A German cruise ship turned refugee carrier, it was attacked by a Soviet submarine in January 1945. Some 9,000 people went down in the Baltic Sea, making it the deadliest maritime disaster of all time.Born to an unwed mother on a lifeboat the night of the attack, Paul Pokriefke is a middle-aged journalist trying to piece together the tragic events. While his mother sees her whole existence in terms of that calamitous moment, Paul wishes their life could have been less touched by the past. For his teenage son, who dabbles in the dark, far-right corners of the Internet, the Gustloff embodies the denial of Germany's wartime suffering.""Scuttling backward to move forward,"" Crabwalk is at once a captivating tale of a tragedy at sea and a fearless examination of the ways different generations of Germans now view their past.Winner of the Nobel Prize",5.0,Positivo,Fiction
Cracked Up to Be,Courtney Summers,"Perfect Parker Fadley isn't so perfect anymore. She's quit the cheerleading squad, she's dumped her perfect boyfriend, and she's failing school. Her parents are on a constant suicide watch and her counselors think she's playing games, but they don't know that the real reason for this whole mess isn't something she can say out loud. It isn't even something she can say to herself. A horrible thing has happened and it just might be her fault. If she can just remove herself from everybody--be totally alone--then everything will be okay...The problem is, nobody will let her.",4.5,Positivo,Young Adult
Cracker!: The Best Dog in Vietnam,Cynthia Kadohata,"CRACKER IS ONE OF THE UNITED STATES ARMY'S MOST VALUABLE a German shepherd trained to sniff out bombs, traps, and the enemy. The fate of entire platoons rests on her keen sense of smell. She's a Big Deal, and she likes it that way. Sometimes Cracker remembers when she was younger, and her previous owner would feed her hot dogs and let her sleep in his bed. That was nice, too.Rick Hanski is headed to Vietnam. There, he's going to whip the world and prove to his family and his sergeant -- and everyone else who didn't think he was cut out for war -- wrong. But sometimes Rick can't help but wonder that maybe everyone else is right. Maybe he should have just stayed at home and worked in his dad's hardware store.When Cracker is paired with Rick, she isn't so sure about this new owner. He's going to have to prove himself to her before she's going to prove herself to him. They need to be friends before they can be a team, and they have to be a team if they want to get home alive.Told in part through the uncanny point of view of a German shepherd, Cracker! is an action-packed glimpse into the Vietnam War as seen through the eyes of a dog and her handler. It's an utterly unique powerhouse of a book by the Newbery Medal-winning author of Kira-Kira .",4.0,Positivo,Historical Fiction
Crank,Ellen Hopkins,"In Crank, Ellen Hopkins chronicles the turbulent and often disturbing relationship between Kristina, a character based on her own daughter, and the ""monster,"" the highly addictive drug crystal meth, or ""crank."" Kristina is introduced to the drug while visiting her largely absent and ne'er-do-well father. While under the influence of the monster, Kristina discovers her sexy alter-ego, Bree: ""there is no perfect daughter, / no gifted high school junior, / no Kristina Georgia Snow. / There is only Bree."" Bree will do all the things good girl Kristina won't, including attracting the attention of dangerous boys who can provide her with a steady flow of crank.",3.0,Negativo,Young Adult
Crash,J.G. Ballard,"In Ballard's hallucinatory novel, the car provides the hellish tableau in which Vaughan, a ""TV scientist"" turned ""nightmare angel of the highways,"" experiments with erotic atrocities among auto crash victims, each more sinister than the last. James Ballard, his friend and fellow obsessive, tells the story of this twisted visionary as he careens rapidly toward his own demise in an intentionally orchestrated car crash with Elizabeth Taylor. A classic work of cutting edge fiction, Crash explores the disturbing potentialities of contemporary society's increasing dependence on technology as intermediary in human relations.",3.5,Negativo,Fiction
Crashing Down to Earth,Terry  Reid,"Hayley Foster is a woman with a secret. Her flatmate is her guardian angel. But with the terrifying events of two years ago firmly put behind them, Hayley finally dares hope for a quieter life for her and Alex to enjoy.But it is not long before the old angel’s past comes back to haunt him in the form of an ex-lover. As Alex tries to protect Hayley though, it quickly becomes apparent that far greater powers are at play, far bigger than either of them could ever have possibly imagined.Join Hayley and Alex in the first part of their epic journey as they try to save Glasgow, as well as each other, from doom.Crashing Down to Earth will be available from Amazon and Smashwords this August.",5.0,Positivo,Fantasy
"Crashing Through: A True Story of Risk, Adventure, and the Man Who Dared to See",Robert Kurson,"In his critically acclaimed bestseller Shadow Divers , Robert Kurson explored the depths of history, friendship, and compulsion. Now Kurson returns with another thrilling adventure–the stunning true story of one man’s heroic odyssey from blindness into sight.Mike May spent his life crashing through. Blinded at age three, he defied expectations by breaking world records in downhill speed skiing, joining the CIA, and becoming a successful inventor, entrepreneur, and family man. He had never yearned for vision.Then, in 1999, a chance encounter brought startling a revolutionary stem cell transplant surgery could restore May’s vision. It would allow him to drive, to read, to see his children’s faces. He began to contemplate an astonishing new Would music still sound the same? Would sex be different? Would he recognize himself in the mirror? Would his marriage survive? Would he still be Mike May?The procedure was filled with risks, some of them deadly, others beyond May’s wildest dreams. Even if the surgery worked, history was against him. Fewer than twenty cases were known worldwide in which a person gained vision after a lifetime of blindness. Each of those people suffered desperate consequences we can scarcely imagine.There were countless reasons for May to pass on vision. He could think of only a single reason to go forward. Whatever his decision, he knew it would change his life.Beautifully written and thrillingly told, Crashing Through is a journey of suspense, daring, romance, and insight into the mysteries of vision and the brain. Robert Kurson gives us a fascinating account of one man’s choice to explore what it means to see–and to truly live.",2.7,Negativo,Nonfiction
Crave,Tracy Wolff,"The #1 New York Times Bestselling SeriesAn Amazon Best YA Book of 2020Glitter Magazine’s #1 Pick for Best YA of 2020Optioned for Film by UniversalMy whole world changed when I stepped inside the academy. Nothing is right about this place or the other students in it. Here I am, a mere mortal among gods…or monsters. I still can’t decide which of these warring factions I belong to, if I belong at all. I only know the one thing that unites them is their hatred of me.Then there’s Jaxon Vega. A vampire with deadly secrets who hasn’t felt anything for a hundred years. But there’s something about him that calls to me, something broken in him that somehow fits with what’s broken in me.Which could spell death for us all.Because Jaxon walled himself off for a reason. And now someone wants to wake a sleeping monster, and I’m wondering if I was brought here intentionally—as the bait.",1.5,Negativo,Fantasy
Crazy Rich Asians,Kevin Kwan,"Crazy Rich Asians is the outrageously funny debut novel about three super-rich, pedigreed Chinese families and the gossip, backbiting, and scheming that occurs when the heir to one of the most massive fortunes in Asia brings home his ABC (American-born Chinese) girlfriend to the wedding of the season.When Rachel Chu agrees to spend the summer in Singapore with her boyfriend, Nicholas Young, she envisions a humble family home, long drives to explore the island, and quality time with the man she might one day marry. What she doesn't know is that Nick's family home happens to look like a palace, that she'll ride in more private planes than cars, and that with one of Asia's most eligible bachelors on her arm, Rachel might as well have a target on her back.Initiated into a world of dynastic splendor beyond imagination, Rachel meets Astrid, the It Girl of Singapore society; Eddie, whose family practically lives in the pages of the Hong Kong socialite magazines; and Eleanor, Nick's formidable mother, a woman who has very strong feelings about who her son should—and should not—marry.Uproarious, addictive, and filled with jaw-dropping opulence, Crazy Rich Asians is an insider's look at the Asian JetSet; a perfect depiction of the clash between old money and new money; between Overseas Chinese and Mainland Chinese; and a fabulous novel about what it means to be young, in love, and gloriously, crazily rich.",3.2,Positivo,Fiction
Creation,Gore Vidal,"Once again the incomparable Gore Vidal interprets and animates history -- this time in a panoramic tour of the 5th century B.C. -- and embellishes it with his own ironic humor, brilliant insights, and piercing observations. We meet a vast array of historical figures in a staggering novel of love, war, philosophy, and adventure . . . ""There isn't a page of CREATION that doesn't inform and very few pages that do not delight.""-- John Leonard, The New York Times",3.7,Positivo,Historical Fiction
Creatura,Nely Cab,"When seventeen year-old Isis Martin is having trouble sleeping due to perturbing dreams of a horrific growling beast, she decides to confront her fear. But what Isis discovers is something other than a menacing entity. The human-like creature offers Isis assurance that he is not a figment of her imagination. Unwilling to accept his avowal, Isis sets his words to contest by asking the entity to prove himself - a dare, he readily welcomes.It is in her dreams that Isis innocently stumbles upon the silent existence of the divine lineage of those that man has long forgotten.In a quaint town, deep in south Texas, this story leads Isis onto the path of impermissible love and captivating life-changing truths. Isis Martin's journey is sure to leave any reader ravenous for more.",2.7,Negativo,Fantasy
Creatures of Light and Darkness,Roger Zelazny,"Two gods, two houses, one quest and the eternal war between life and death. To save his kingdom, Anubis, Lord of the Dead, sends forth his servant on a mission of vengeance. At the same time, from The House of Life, Osiris sends forth his son, Horus, on the same mission to destroy utterly & forever The Prince Who Was a Thousand. But neither of these superhuman warriors is prepared for the strange & harrowing world of mortal life. The Thing That Cries in the Night may well destroy not only their worlds, but all humankind. As Zelazny did with the Hindu pantheon in the legendary, groundbreaking classic Lord of Light, the master storyteller here breathes new life into the Egyptian gods with another dazzling tale of mythology and imagination.",3.0,Negativo,Fantasy
Crescendo,Becca Fitzpatrick,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.Nora would have hardly noticed Scott Parnell, an old family friend who has moved back to town, if Patch hadn't been acting so distant. Even with Scott's totally infuriating attitude, Nora finds herself drawn to him - despite her lingering feelings that he is hiding something.If that weren't enough, Nora is haunted by images of her murdered father, and comes to question whether her Nephilim bloodline has anything to do with his death. Desperate to figure out what happened, she puts herself in increasingly dangerous situations to get the answer. But maybe some things are better left buried, because the truth could destroy everything - and everyone - she trusts.",2.7,Negativo,Young Adult
Cress,Marissa Meyer,"In this third book in the Lunar Chronicles, Cinder and Captain Thorne are fugitives on the run, now with Scarlet and Wolf in tow. Together, they're plotting to overthrow Queen Levana and her army.Their best hope lies with Cress, a girl imprisoned on a satellite since childhood who's only ever had her netscreens as company. All that screen time has made Cress an excellent hacker. Unfortunately, she's just received orders from Levana to track down Cinder and her handsome accomplice.When a daring rescue of Cress goes awry, the group is separated. Cress finally has her freedom, but it comes at a higher price. Meanwhile, Queen Levana will let nothing prevent her marriage to Emperor Kai. Cress, Scarlet, and Cinder may not have signed up to save the world, but they may be the only hope the world has.",4.5,Positivo,Fantasy
Crier's War,Nina Varela,"Impossible love between two girls —one human, one Made. A love that could birth a revolution.After the War of Kinds ravaged the kingdom of Rabu, the Automae, Designed to be the playthings of royals, took over the estates of their owners and bent the human race to their will.Now, Ayla, a human servant rising the ranks at the House of the Sovereign, dreams of avenging the death of her family… by killing the Sovereign’s daughter, Lady Crier. Crier, who was Made to be beautiful, to be flawless. And to take over the work of her father. Crier had been preparing to do just that—to inherit her father’s rule over the land. But that was before she was betrothed to Scyre Kinok, who seems to have a thousand secrets. That was before she discovered her father isn’t as benevolent as she thought. That was before she met Ayla.Set in a richly-imagined fantasy world, Nina Varela’s debut novel is a sweepingly romantic tale of love, loss and revenge, that challenges what it really means to be human.",4.5,Positivo,Fantasy
Crime and Punishment,Fyodor Dostoevsky,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden sex worker, can offer the chance of redemption.",3.5,Negativo,Fiction
Crisis of the French Section 1935-36,Leon Trotsky,"Articles and letters to young militants expelled in 1935 from the rightward-moving Socialist Party of France, explaining the kind of party that must be built to lead a socialist revolution. Notes, glossary, selected bibliography, index. Now with enlarged type.",4.0,Neutral,Nonfiction
Crocodile Tears,Anthony Horowitz,"It's just another day in the life of an average kid. If you're Alex Rider, that is. A con artist has realized there is big money in charity: the bigger the disaster, the greater the money flow! So that is what he will produce: the biggest disaster known to man, all thanks to genetically modified corn that can release a virus so potent it can knock out an entire country in one windy day. But Alex Rider will face whatever it takes - gunfire, explosions, hand-to-hand combat with mercenaries - to bring down his most dangerous adversary yet.Often imitated, never equaled, the series that triggered a reading phenomenon is back, exhilarating and addictive as ever.",4.0,Positivo,Young Adult
Crooked Kingdom,Leigh Bardugo,"The #1 New York Times-bestselling sequel to Leigh Bardugo's thrilling Six of Crows.When you can’t beat the odds, change the game.Kaz Brekker and his crew have just pulled off a heist so daring even they didn't think they'd survive. But instead of divvying up a fat reward, they're right back to fighting for their lives. Double-crossed and badly weakened, the crew is low on resources, allies, and hope. As powerful forces from around the world descend on Ketterdam to root out the secrets of the dangerous drug known as jurda parem, old rivals and new enemies emerge to challenge Kaz's cunning and test the team's fragile loyalties. A war will be waged on the city's dark and twisting streets—a battle for revenge and redemption that will decide the fate of the Grisha world.Praise for the Grishaverse“A master of fantasy.” —The Huffington Post“Utterly, extremely bewitching.” —The Guardian“The best magic universe since Harry Potter.” —Bustle“This is what fantasy is for.” —The New York Times Book Review“[A] world that feels real enough to have its own passport stamp.” —NPR“The darker it gets for the good guys, the better.” —Entertainment Weekly“Sultry, sweeping and picturesque. . . . Impossible to put down.” —USA Today“There’s a level of emotional and historical sophistication within Bardugo’s original epic fantasy that sets it apart.” —Vanity Fair“Unlike anything I’ve ever read.” —Veronica Roth, bestselling author of Divergent“Bardugo crafts a first-rate adventure, a poignant romance, and an intriguing mystery!” —Rick Riordan, bestselling author of the Percy Jackson series“This is a great choice for teenage fans of George R.R. Martin and J.R.R. Tolkien.” —RT Book ReviewsRead all the books in the Grishaverse!
The Shadow and Bone Trilogy 
(previously published as The Grisha Trilogy)Shadow and BoneSiege and StormRuin and Rising
The Six of Crows Duology
Six of CrowsCrooked KingdomThe Language of Thorns: Midnight Tales and Dangerous Magic#1 New York Times bestseller, October 16, 2016",4.5,Positivo,Fantasy
Crooked Little Heart,Anne Lamott,"With the same winning combination of humor and honesty that marked her recent nonfiction bestsellers, Operating Instructions and Bird by Bird, Anne Lamott presents an exuberant novel about a family for whom the joys and sorrows of everyday life are magnified under the glare of the unexpected.Rosie Ferguson, in the first bloom of young womanhood, is obsessed with tournament tennis. Her mother is a recovering alcoholic still grieving the death of her first husband; her stepfather, a struggling writer, is wrestling with his own demons. And now Rosie finds that her athletic gifts, once a source of triumph and escape, place her in peril, as a shadowy man who stalks her from the bleachers seems to be developing an obsession of his own.Crooked Little Heart asks big questions in intimate ways: What keeps a family together? What are the small heartbreaks that tear at the fabric of our lives? What happens to grief when it goes underground? And what road must we walk with our flawed and crooked hearts?Brilliantly written, inhabited by superbly realized characters, funny and human and wonderfully suspenseful, Crooked Little Heart is Anne Lamott writing at the peak of her considerable powers.",3.0,Negativo,Fiction
Cross My Heart and Hope to Spy,Ally Carter,"Cammie Morgan is back, and it's clear that her life hasn't calmed down since the events of I'd Tell You I Love You, But Then I'd Have to Kill You. At first, giddy anticipation is in the air. Gallagher Academy, Cammie's elite spy school, is hosting a visit from a covert training center for boys. Soon after the boys' arrival, though, everything goes dangerously awry when a series of security breaches are discovered at the academy. Worse yet, teenage agent-in-training Cammie is being blamed for the penetration. With the school's top-secret status at risk, the Gallagher Girls have to work quickly to save their beloved school.",3.7,Positivo,Young Adult
Crossed,Ally Condie,The Society chooses everything. The books you read. The music you listen to. The person you love. Yet for Cassia the rules have changed. Ky has been taken and she will sacrifice everything to find him. And when Cassia discovers Ky has escaped to the wild frontiers beyond the Society there is hope.But on the edge of society nothing is as it seems...A rebellion is rising.And a tangled web of lies and double-crosses could destroy everything.,1.5,Negativo,Young Adult
Crossing California,Adam Langer,"Set in Chicago's Jewish neighborhood of West Rogers Park, this is the story of three families--adults and children alike--coming of age during the tumultuous, turbulent days of the Iran hostage crisis. At the close of the 1970s, the Rovners, the Wasserstroms, and the Wills-Silvermans will have to shed their pasts to cross into that new, shining decade of hope: the 80s.",4.0,Positivo,Fiction
Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,"About the book (A teaser) ""Crossing the A Diary of My Thoughts"" ""We can forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light"" - Plato ""A dream you dream alone is only a dream. A dream you dream together is reality"" -John Lennon "" Reason and judgment are the qualities of a leader. "" - Tacitus As long as you are alive, and I am alive, our dreams will remain alive. Even after Dr. Martin Luther King was shot, his dreams are still alive and have been passed to the next generation to pursue freedom, democracy, equality, justice, peace, and prosperity. Thanks to his wake-up call and pains-taking efforts, modern society is much more open-minded and tolerant towards differences. A good leader should be a good reader; A good reader can become a good leader. Reading minds can be as challenging as reading books. This book documents my book reading experience and my reflections upon politics, education, psychology, communication, religion, and philosophy . . . etc. as well as my mind reading experience. It is a collection of my posts on my blog and on Facebook, where I have been sharing my thoughts and interacting with top political and business leaders, celebrities, and scholars in America, Europe, and Asia, implicitly and explicitly during the past two years (Sept.2010 through Sept. 2012). It is possible that my Facebook posts might have inspired lots of creative celebrities who produced stunning songs, movies, and TV shows. Here are some ""Born this way"" ""The Edge of Glory"" ""Hair"" ""You and I"" ""Government Hooker"" ""Princess Die""""Princess High"" ""So Happy I Could Die"" ""Bloody Mary"" ""Highway Unicorn""-- by Lady Gaga ""I Love You This Big"" by Scotty McCreery, American Idol 2011 winner ""Brighter Than the Sun"" by Colbie Caillat ""I Wanna Go"" by Brittney Spears ""Options"" by Gomez ""Firework"" by Katy Perry ""Love You Like a Love Song"" by Selina Gomez ""Year of 4"" by Beyonce ""P",4.5,Positivo,Nonfiction
Crossing to Safety,Wallace Stegner,"Crossing to Safety has, since its publication in 1987, established itself as one of the greatest and most cherished American novels of the twentieth century. Tracing the lives, loves, and aspirations of two couples who move between Vermont and Wisconsin, it is a work of quiet majesty, deep compassion, and powerful insight into the alchemy of friendship and marriage.",5.0,Positivo,Fiction
Crossroads and the Dominion of Four,C. Toni Graham,"At first glance, Jake, Shayna, Seneca, and Conner seem like average teens. Maybe even like some kids you know. But theyre special. They know that magic, spells, and prophecies are real. In Crossroads and the Dominion of Four, author C. Toni Graham continues the tale introduced in Crossroads and the Himalayan Crystals. The teens have accepted their fate as defenders of the Otherworld. The realms mythical beings have chosen sides in a deadly magical war, but its not always clear to whom they pledge their allegiance. Jake, Shayna, Conner and Seneca must use their new magical abilities to battle treacherous creatures and face life-altering crossroads. Only a powerful druid and her loyal minions stand in their way to fulfilling their destiny of becoming the prophesized Dominion of Four. The Crossroads series brings together creatures and humans as they fight for the common goal of returning harmony to the Otherworld and rid the realm of evil forever. Teen readers and fans of action-packed fantasy genres will enjoy this thrilling saga.",4.5,Positivo,Fantasy
Crossroads and the Himalayan Crystals,C. Toni Graham,"An ordinary school day in Middlefield turns into a mystical tale filled with endless adventures of magic, fairies, flying horses, and danger. A modern-day saga of four young teens who find themselves trapped in another realm-""The Otherworld""-where they must abide by an evil druid's bidding or risk endangering the lives of their loved ones and the magical beings they have befriended.",4.5,Positivo,Fantasy
Crossroads of Twilight,Robert Jordan,"In the tenth book of The Wheel of Time from the New York Times #1 bestselling author Robert Jordan, the world and the characters stand at a crossroads, and the world approaches twilight, when the power of the Shadow grows stronger.Fleeing from Ebou Dar with the kidnapped Daughter of the Nine Moons, whom he is fated to marry, Mat Cauthon learns that he can neither keep her nor let her go, not in safety for either of them, for both the Shadow and the might of the Seanchan Empire are in deadly pursuit.Perrin Aybara seeks to free his wife, Faile, a captive of the Shaido, but his only hope may be an alliance with the enemy. Can he remain true to his friend Rand and to himself? For his love of Faile, Perrin is willing to sell his soul.At Tar Valon, Egwene al'Vere, the young Amyrlin of the rebel Aes Sedai, lays siege to the heart of Aes Sedai power, but she must win quickly, with as little bloodshed as possible, for unless the Aes Sedai are reunited, only the male Asha'man will remain to defend the world against the Dark One, and nothing can hold the Asha'man themselves back from total power except the Aes Sedai and a unified White Tower.In Andor, Elayne Trakland fights for the Lion Throne that is hers by right, but enemies and Darkfriends surround her, plotting her destruction. If she fails, Andor may fall to the Shadow, and the Dragon Reborn with it.Rand al'Thor, the Dragon Reborn himself, has cleansed the Dark One's taint from the male half of the True Source, and everything has changed. Yet nothing has, for only men who can channel believe that saidin is clean again, and a man who can channel is still hated and feared-even one prophesied to save the world. Now, Rand must gamble again, with himself at stake, and he cannot be sure which of his allies are really enemies. ",2.5,Negativo,Fantasy
